Date,Symbol,Open,High,Low,Close,Volume
2020-03-13 08-PM,ETHUSD,129.94,131.82,126.87,128.71,1940673.93
2020-03-13 07-PM,ETHUSD,119.51,132.02,117.1,129.94,7579741.09
2020-03-13 06-PM,ETHUSD,124.47,124.85,115.5,119.51,4898735.81
2020-03-13 05-PM,ETHUSD,124.08,127.42,121.63,124.47,2753450.92
2020-03-13 04-PM,ETHUSD,124.85,129.51,120.17,124.08,4461424.71
2020-03-13 03-PM,ETHUSD,128.39,128.9,116.06,124.85,7378976.0
2020-03-13 02-PM,ETHUSD,134.03,137.9,125.5,128.39,3733916.89
2020-03-13 01-PM,ETHUSD,131.35,140.95,128.99,134.03,9582732.93
2020-03-13 12-PM,ETHUSD,128.93,134.6,126.95,131.35,3906590.52
2020-03-13 11-AM,ETHUSD,132.6,133.17,126.01,128.93,3311080.29
2020-03-13 10-AM,ETHUSD,133.8,134.99,128.9,132.6,3483436.48
2020-03-13 09-AM,ETHUSD,127.12,136.53,126.62,133.8,2767584.44
2020-03-13 08-AM,ETHUSD,127.57,133.1,121.94,127.12,6808571.23
2020-03-13 07-AM,ETHUSD,127.28,129.0,120.83,127.57,5255468.75
2020-03-13 06-AM,ETHUSD,116.87,127.93,114.45,127.28,5701691.64
2020-03-13 05-AM,ETHUSD,111.87,124.0,110.75,116.87,6507796.34
2020-03-13 04-AM,ETHUSD,130.91,130.91,106.43,111.87,7802511.68
2020-03-13 03-AM,ETHUSD,117.02,148.0,115.15,130.91,19431820.56
2020-03-13 02-AM,ETHUSD,98.88,127.74,90.0,117.02,18546413.74
2020-03-13 01-AM,ETHUSD,107.09,110.99,97.0,98.88,8079507.05
2020-03-13 12-AM,ETHUSD,110.3,117.5,102.92,107.09,10329663.69
2020-03-12 11-PM,ETHUSD,126.78,126.82,101.22,110.3,19338895.12
2020-03-12 10-PM,ETHUSD,130.3,134.25,124.83,126.78,8822759.15
2020-03-12 09-PM,ETHUSD,128.15,132.14,122.83,130.3,6500631.29
2020-03-12 08-PM,ETHUSD,138.0,138.96,124.04,128.15,19731142.71
2020-03-12 07-PM,ETHUSD,137.04,139.69,136.43,138.0,3815314.09
2020-03-12 06-PM,ETHUSD,141.8,143.0,136.52,137.04,2516644.89
2020-03-12 05-PM,ETHUSD,139.25,146.17,138.32,141.8,5055228.41
2020-03-12 04-PM,ETHUSD,141.24,142.49,134.53,139.25,4068304.19
2020-03-12 03-PM,ETHUSD,140.79,141.58,137.5,141.24,3419213.89
2020-03-12 02-PM,ETHUSD,135.39,144.0,131.0,140.79,8788199.04
2020-03-12 01-PM,ETHUSD,137.67,139.8,126.0,135.39,9683564.39
2020-03-12 12-PM,ETHUSD,136.83,144.63,135.0,137.67,9397363.08
2020-03-12 11-AM,ETHUSD,134.67,151.19,126.29,136.83,16556632.81
2020-03-12 10-AM,ETHUSD,167.5,168.3,126.28,134.67,17741252.81
2020-03-12 09-AM,ETHUSD,169.16,169.88,167.08,167.5,2524359.27
2020-03-12 08-AM,ETHUSD,171.38,172.07,166.24,169.16,4708832.94
2020-03-12 07-AM,ETHUSD,173.41,173.79,168.0,171.38,7019309.48
2020-03-12 06-AM,ETHUSD,181.43,181.53,171.14,173.41,8514139.23
2020-03-12 05-AM,ETHUSD,181.11,181.6,179.59,181.43,2282461.75
2020-03-12 04-AM,ETHUSD,182.55,182.57,177.16,181.11,4964683.12
2020-03-12 03-AM,ETHUSD,183.7,185.04,181.32,182.55,3095445.99
2020-03-12 02-AM,ETHUSD,184.43,187.3,182.0,183.7,4844506.45
2020-03-12 01-AM,ETHUSD,193.44,193.71,183.47,184.43,4970667.47
2020-03-12 12-AM,ETHUSD,194.61,195.64,192.02,193.44,1714112.98
2020-03-11 11-PM,ETHUSD,194.41,196.58,192.36,194.61,2605030.54
2020-03-11 10-PM,ETHUSD,189.38,195.14,188.36,194.41,3606516.34
2020-03-11 09-PM,ETHUSD,193.37,193.67,188.89,189.38,1788126.7
2020-03-11 08-PM,ETHUSD,190.09,193.37,189.34,193.37,3739916.02
2020-03-11 07-PM,ETHUSD,189.79,191.29,186.95,190.09,2700157.57
2020-03-11 06-PM,ETHUSD,184.25,190.41,181.0,189.79,7425363.13
2020-03-11 05-PM,ETHUSD,191.93,192.05,183.11,184.25,6806914.64
2020-03-11 04-PM,ETHUSD,191.92,193.97,191.02,191.93,2544799.97
2020-03-11 03-PM,ETHUSD,193.92,194.88,190.33,191.92,2622210.87
2020-03-11 02-PM,ETHUSD,196.87,197.37,193.05,193.92,1874611.01
